iter	RMSE
0	39.16843089
1	39.08462632
2	38.94212615
3	38.83477868
4	38.76932015
5	38.71565466
6	38.66857963
7	38.6357617
8	38.5900927
9	38.56733086
10	38.54203436
11	38.51382596
12	38.48845238
13	38.47276721
14	38.4520076
15	38.43871449
16	38.41637026
17	38.39003368
18	38.37202107
19	38.35578018
20	38.34264884
21	38.32834996
22	38.31111293
23	38.29760012
24	38.28954607
25	38.27996418
26	38.2696248
27	38.25723213
28	38.25053064
29	38.24131856
30	38.22692318
31	38.21446038
32	38.206132
33	38.19755667
34	38.19203071
35	38.18450585
36	38.17385425
37	38.16173924
38	38.15172951
39	38.1476509
40	38.14034047
41	38.12629945
42	38.1206468
43	38.11505797
44	38.1106545
45	38.09861229
46	38.09169823
47	38.08466058
48	38.07983239
49	38.07067787
50	38.06474508
51	38.06053354
52	38.05209141
53	38.04164534
54	38.03624867
55	38.03141434
56	38.02598088
57	38.02096967
58	38.01110674
59	38.00337748
60	37.99887499
61	37.99588483
62	37.99083073
63	37.98485362
64	37.98090218
65	37.97847803
66	37.97645837
67	37.96753145
68	37.96252432
69	37.95809843
70	37.95316207
71	37.95022851
72	37.94679296
73	37.94218929
74	37.9374221
75	37.93527625
76	37.93268974
77	37.9289502
78	37.92276014
79	37.91711732
80	37.90897653
81	37.90477487
82	37.89935044
83	37.89637725
84	37.89317446
85	37.89026464
86	37.8854649
87	37.880195
88	37.87766505
89	37.87608715
90	37.86883551
91	37.86257645
92	37.86017549
93	37.85496362
94	37.85181296
95	37.84908698
96	37.84527526
97	37.84033839
98	37.83652933
99	37.83326937
