iter	Passed	Remaining
0	199	19711
1	388	19058
2	562	18180
3	735	17656
4	907	17247
5	1079	16905
6	1245	16552
7	1419	16326
8	1598	16161
9	1754	15793
10	1918	15521
11	2085	15291
12	2254	15088
13	2423	14884
14	2610	14791
15	2769	14538
16	2945	14381
17	3109	14165
18	3294	14043
19	3462	13848
20	3655	13751
21	3839	13613
22	4012	13434
23	4195	13285
24	4358	13074
25	4531	12896
26	4697	12699
27	4869	12521
28	5055	12377
29	5232	12210
30	5407	12036
31	5584	11866
32	5752	11678
33	5925	11502
34	6094	11318
35	6285	11174
36	6446	10975
37	6621	10803
38	6784	10611
39	6938	10407
40	7103	10222
41	7272	10042
42	7445	9869
43	7612	9689
44	7786	9517
45	7967	9353
46	8127	9164
47	8304	8996
48	8470	8815
49	8654	8654
50	8825	8479
51	9008	8315
52	9192	8152
53	9360	7974
54	9538	7804
55	9697	7619
56	9871	7447
57	10038	7268
58	10221	7103
59	10395	6930
60	10566	6755
61	10736	6580
62	10914	6410
63	11074	6229
64	11235	6049
65	11406	5875
66	11559	5693
67	11735	5522
68	11913	5352
69	12084	5179
70	12256	5006
71	12432	4834
72	12611	4664
73	12766	4485
74	12934	4311
75	13105	4138
76	13269	3963
77	13452	3794
78	13625	3621
79	13791	3447
80	13949	3272
81	14120	3099
82	14304	2929
83	14488	2759
84	14653	2585
85	14830	2414
86	15000	2241
87	15174	2069
88	15339	1895
89	15510	1723
90	15679	1550
91	15855	1378
92	16024	1206
93	16208	1034
94	16376	861
95	16546	689
96	16713	516
97	16878	344
98	17058	172
99	17235	0
